sensor_id,parameter,parameter_units,value,date,latitude,longitude
164,co,µg/m³,0.24,2023-04-11,52.389983000188224,4.88781099987638
164,co,µg/m³,0.32,2023-04-12,52.389983000188224,4.88781099987638
164,co,µg/m³,0.2,2023-04-13,52.389983000188224,4.88781099987638
164,co,µg/m³,0.23,2023-04-24,52.389983000188224,4.88781099987638
164,co,µg/m³,0.26,2023-04-25,52.389983000188224,4.88781099987638
164,co,µg/m³,0.28,2023-04-26,52.389983000188224,4.88781099987638
164,co,µg/m³,0.2,2023-04-27,52.389983000188224,4.88781099987638
164,co,µg/m³,0.27,2023-04-28,52.389983000188224,4.88781099987638
164,co,µg/m³,0.34,2023-04-29,52.389983000188224,4.88781099987638
164,co,µg/m³,0.22,2023-04-30,52.389983000188224,4.88781099987638
164,co,µg/m³,0.25,2023-05-01,52.389983000188224,4.88781099987638
164,co,µg/m³,0.29,2023-05-02,52.389983000188224,4.88781099987638
164,co,µg/m³,0.32,2023-05-03,52.389983000188224,4.88781099987638
164,co,µg/m³,0.33,2023-05-04,52.389983000188224,4.88781099987638
164,co,µg/m³,0.37,2023-05-05,52.389983000188224,4.88781099987638
164,co,µg/m³,0.47,2023-05-06,52.389983000188224,4.88781099987638
164,co,µg/m³,0.31,2023-05-07,52.389983000188224,4.88781099987638
164,co,µg/m³,0.33,2023-05-08,52.389983000188224,4.88781099987638
164,co,µg/m³,0.24,2023-05-09,52.389983000188224,4.88781099987638
164,co,µg/m³,0.22,2023-05-10,52.389983000188224,4.88781099987638
164,co,µg/m³,0.2,2023-05-11,52.389983000188224,4.88781099987638
164,co,µg/m³,0.19,2023-05-12,52.389983000188224,4.88781099987638
164,co,µg/m³,0.19,2023-05-14,52.389983000188224,4.88781099987638
164,co,µg/m³,0.22,2023-05-25,52.389983000188224,4.88781099987638
164,co,µg/m³,0.22,2023-05-26,52.389983000188224,4.88781099987638
164,co,µg/m³,0.19,2023-05-27,52.389983000188224,4.88781099987638
164,co,µg/m³,0.19,2023-05-28,52.389983000188224,4.88781099987638
164,co,µg/m³,0.19,2023-05-29,52.389983000188224,4.88781099987638
164,co,µg/m³,0.19,2023-05-30,52.389983000188224,4.88781099987638
164,co,µg/m³,0.18,2023-05-31,52.389983000188224,4.88781099987638
164,co,µg/m³,0.19,2023-06-01,52.389983000188224,4.88781099987638
164,co,µg/m³,0.18,2023-06-02,52.389983000188224,4.88781099987638
164,co,µg/m³,0.19,2023-06-03,52.389983000188224,4.88781099987638
164,co,µg/m³,0.23,2023-06-14,52.389983000188224,4.88781099987638
164,co,µg/m³,0.27,2023-06-15,52.389983000188224,4.88781099987638
164,co,µg/m³,0.36,2023-06-16,52.389983000188224,4.88781099987638
164,co,µg/m³,0.31,2023-06-17,52.389983000188224,4.88781099987638
164,co,µg/m³,0.5,2023-06-18,52.389983000188224,4.88781099987638
164,co,µg/m³,0.37,2023-06-19,52.389983000188224,4.88781099987638
164,co,µg/m³,0.33,2023-06-20,52.389983000188224,4.88781099987638
164,co,µg/m³,0.36,2023-06-22,52.389983000188224,4.88781099987638
164,co,µg/m³,0.49,2023-06-23,52.389983000188224,4.88781099987638
164,co,µg/m³,0.32,2023-06-24,52.389983000188224,4.88781099987638
164,co,µg/m³,0.29,2023-06-25,52.389983000188224,4.88781099987638
164,co,µg/m³,0.31,2023-06-26,52.389983000188224,4.88781099987638
164,co,µg/m³,0.38,2023-06-27,52.389983000188224,4.88781099987638
164,co,µg/m³,0.3,2023-06-28,52.389983000188224,4.88781099987638
164,co,µg/m³,0.35,2023-06-29,52.389983000188224,4.88781099987638
164,co,µg/m³,0.3,2023-06-30,52.389983000188224,4.88781099987638
164,co,µg/m³,0.27,2023-07-01,52.389983000188224,4.88781099987638
164,co,µg/m³,0.31,2023-07-02,52.389983000188224,4.88781099987638
164,co,µg/m³,0.32,2023-07-03,52.389983000188224,4.88781099987638
164,co,µg/m³,0.41,2023-07-04,52.389983000188224,4.88781099987638
164,co,µg/m³,0.14,2023-08-14,52.389983000188224,4.88781099987638
164,co,µg/m³,0.14,2023-08-15,52.389983000188224,4.88781099987638
164,co,µg/m³,0.2,2023-08-16,52.389983000188224,4.88781099987638
164,co,µg/m³,0.41,2023-08-22,52.389983000188224,4.88781099987638
164,co,µg/m³,0.29,2023-08-23,52.389983000188224,4.88781099987638
164,co,µg/m³,0.26,2023-08-24,52.389983000188224,4.88781099987638
164,co,µg/m³,0.25,2023-08-25,52.389983000188224,4.88781099987638
164,co,µg/m³,0.21,2023-08-26,52.389983000188224,4.88781099987638
164,co,µg/m³,0.3,2023-08-27,52.389983000188224,4.88781099987638
164,co,µg/m³,0.31,2023-08-28,52.389983000188224,4.88781099987638
164,co,µg/m³,0.24,2023-08-29,52.389983000188224,4.88781099987638
164,co,µg/m³,0.31,2023-08-30,52.389983000188224,4.88781099987638
4275959,no,µg/m³,11.0,2022-10-22,52.389983000188224,4.88781099987638
4275959,no,µg/m³,5.3,2022-10-23,52.389983000188224,4.88781099987638
4275959,no,µg/m³,14.0,2022-10-24,52.389983000188224,4.88781099987638
4275959,no,µg/m³,18.0,2022-10-25,52.389983000188224,4.88781099987638
4275959,no,µg/m³,8.0,2022-10-26,52.389983000188224,4.88781099987638
4275959,no,µg/m³,24.0,2022-10-27,52.389983000188224,4.88781099987638
4275959,no,µg/m³,11.0,2022-10-28,52.389983000188224,4.88781099987638
4275959,no,µg/m³,12.0,2022-10-29,52.389983000188224,4.88781099987638
4275959,no,µg/m³,2.7,2022-10-30,52.389983000188224,4.88781099987638
4275959,no,µg/m³,4.6,2022-10-31,52.389983000188224,4.88781099987638
4275959,no,µg/m³,8.8,2022-11-01,52.389983000188224,4.88781099987638
4275959,no,µg/m³,34.0,2022-11-02,52.389983000188224,4.88781099987638
4275959,no,µg/m³,6.7,2022-11-04,52.389983000188224,4.88781099987638
4275959,no,µg/m³,6.8,2022-11-05,52.389983000188224,4.88781099987638
4275959,no,µg/m³,16.0,2022-11-06,52.389983000188224,4.88781099987638
4275959,no,µg/m³,6.6,2022-11-07,52.389983000188224,4.88781099987638
4275959,no,µg/m³,9.7,2022-11-08,52.389983000188224,4.88781099987638
4275959,no,µg/m³,46.0,2022-11-10,52.389983000188224,4.88781099987638
4275959,no,µg/m³,24.0,2022-11-11,52.389983000188224,4.88781099987638
4275959,no,µg/m³,29.0,2022-11-12,52.389983000188224,4.88781099987638
4275959,no,µg/m³,9.6,2022-11-25,52.389983000188224,4.88781099987638
4275959,no,µg/m³,3.5,2022-11-26,52.389983000188224,4.88781099987638
4275959,no,µg/m³,41.0,2022-11-27,52.389983000188224,4.88781099987638
4275959,no,µg/m³,20.0,2022-11-28,52.389983000188224,4.88781099987638
4275959,no,µg/m³,4.9,2022-11-29,52.389983000188224,4.88781099987638
4275959,no,µg/m³,3.8,2022-11-30,52.389983000188224,4.88781099987638
4275959,no,µg/m³,3.8,2022-12-01,52.389983000188224,4.88781099987638
4275959,no,µg/m³,8.9,2022-12-02,52.389983000188224,4.88781099987638
4275959,no,µg/m³,53.0,2022-12-04,52.389983000188224,4.88781099987638
4275959,no,µg/m³,15.0,2022-12-05,52.389983000188224,4.88781099987638
4275959,no,µg/m³,30.0,2022-12-06,52.389983000188224,4.88781099987638
4275959,no,µg/m³,30.0,2022-12-07,52.389983000188224,4.88781099987638
4275959,no,µg/m³,32.0,2022-12-08,52.389983000188224,4.88781099987638
4275959,no,µg/m³,61.0,2022-12-10,52.389983000188224,4.88781099987638
4275959,no,µg/m³,47.0,2022-12-11,52.389983000188224,4.88781099987638
4275959,no,µg/m³,37.0,2022-12-12,52.389983000188224,4.88781099987638
4275959,no,µg/m³,78.0,2022-12-14,52.389983000188224,4.88781099987638
4275959,no,µg/m³,20.0,2022-12-15,52.389983000188224,4.88781099987638
4275959,no,µg/m³,14.0,2022-12-16,52.389983000188224,4.88781099987638
4275959,no,µg/m³,4.9,2022-12-17,52.389983000188224,4.88781099987638
4275959,no,µg/m³,10.0,2022-12-18,52.389983000188224,4.88781099987638
4275959,no,µg/m³,17.0,2022-12-19,52.389983000188224,4.88781099987638
4275959,no,µg/m³,22.0,2022-12-20,52.389983000188224,4.88781099987638
