tavg,co,no,no2,o3,pm10,pm25,so2,date,latitude,longitude
10.1,0.16,1.5803238095238095,15.0,28.0,16.0,4.4,0.75,2022-10-19,52.359714000013874,4.866208000411839
10.1,0.335,12.274537093023255,36.0,27.5,18.0,6.575,0.75,2022-10-19,52.374786000246935,4.86031900024369
10.1,0.335,2.441637984496124,22.0,27.0,15.6,6.575,0.75,2022-10-19,52.38931400010768,4.9438219998869615
10.1,0.51,8.839829069767443,41.0,27.5,16.0,9.7,0.75,2022-10-19,52.389983000188224,4.88781099987638
10.1,0.335,6.395690594202899,29.6,27.5,12.0,4.3,0.75,2022-10-19,52.39397200025616,4.870156999790721
11.8,0.265,9.220394650205762,32.0,28.5,17.0,4.7,0.025,2022-10-20,52.35803899985509,4.899699999642448
11.8,0.14,1.5803238095238095,16.0,26.0,17.0,6.7,0.025,2022-10-20,52.359714000013874,4.866208000411839
11.8,0.265,12.274537093023255,34.0,28.5,22.0,5.775,0.025,2022-10-20,52.374786000246935,4.86031900024369
11.8,0.265,2.441637984496124,15.0,31.0,18.0,5.775,0.025,2022-10-20,52.38931400010768,4.9438219998869615
11.8,0.39,8.839829069767443,32.0,28.5,19.0,7.4,0.025,2022-10-20,52.389983000188224,4.88781099987638
11.8,0.265,6.395690594202899,25.8,28.5,15.0,4.3,0.025,2022-10-20,52.39397200025616,4.870156999790721
15.0,0.27,9.220394650205762,17.0,36.5,13.0,5.6,0.5,2022-10-21,52.35803899985509,4.899699999642448
15.0,0.17,1.5803238095238095,8.3,37.0,16.0,7.0,0.5,2022-10-21,52.359714000013874,4.866208000411839
15.0,0.27,12.274537093023255,20.0,36.5,16.0,5.8999999999999995,0.5,2022-10-21,52.374786000246935,4.86031900024369
15.0,0.27,2.441637984496124,11.0,36.0,16.2,5.8999999999999995,0.5,2022-10-21,52.38931400010768,4.9438219998869615
15.0,0.37,8.839829069767443,18.0,36.5,21.0,8.8,0.5,2022-10-21,52.389983000188224,4.88781099987638
15.0,0.27,6.395690594202899,14.86,36.5,15.0,2.2,0.5,2022-10-21,52.39397200025616,4.870156999790721
14.8,0.205,7.7,24.0,55.0,8.0,3.8,0.25,2022-10-22,52.35803899985509,4.899699999642448
14.8,0.12,-0.15,13.0,54.0,10.0,3.6,0.25,2022-10-22,52.359714000013874,4.866208000411839
14.8,0.205,-0.4,15.0,55.0,11.059999999999999,2.8,0.25,2022-10-22,52.37205599978701,4.904399999582005
14.8,0.205,8.6,27.0,55.0,9.3,2.8,0.25,2022-10-22,52.374786000246935,4.86031900024369
14.8,0.205,-0.35,12.0,56.0,11.059999999999999,2.8,0.25,2022-10-22,52.38931400010768,4.9438219998869615
14.8,0.29,11.0,29.0,55.0,11.0,1.5,0.25,2022-10-22,52.389983000188224,4.88781099987638
14.8,0.205,4.3999999999999995,20.0,55.0,17.0,2.3,0.25,2022-10-22,52.39397200025616,4.870156999790721
14.7,0.29,6.2,37.0,34.0,17.0,7.8,-0.083,2022-10-23,52.35803899985509,4.899699999642448
14.7,0.16,0.1,19.0,32.0,14.0,4.7,-0.083,2022-10-23,52.359714000013874,4.866208000411839
14.7,0.29,-0.15,25.0,34.0,17.4,5.875,-0.083,2022-10-23,52.37205599978701,4.904399999582005
14.7,0.29,6.9,39.0,34.0,22.0,5.875,-0.083,2022-10-23,52.374786000246935,4.86031900024369
14.7,0.29,0.65,21.0,36.0,17.4,5.875,-0.083,2022-10-23,52.38931400010768,4.9438219998869615
14.7,0.42,5.3,37.0,34.0,17.0,5.8,-0.083,2022-10-23,52.389983000188224,4.88781099987638
14.7,0.29,3.1666666666666665,29.666666666666668,34.0,17.0,5.2,-0.083,2022-10-23,52.39397200025616,4.870156999790721
15.2,0.245,15.0,29.0,27.5,13.0,7.7,-0.025,2022-10-24,52.35803899985509,4.899699999642448
15.2,0.16,1.6,18.0,26.0,14.0,5.8,-0.025,2022-10-24,52.359714000013874,4.866208000411839
15.2,0.245,2.0,20.0,27.5,15.2,5.7,-0.025,2022-10-24,52.37205599978701,4.904399999582005
15.2,0.245,16.0,29.0,27.5,18.0,5.7,-0.025,2022-10-24,52.374786000246935,4.86031900024369
15.2,0.245,1.9,20.0,29.0,15.2,5.7,-0.025,2022-10-24,52.38931400010768,4.9438219998869615
15.2,0.33,14.0,30.0,27.5,16.0,6.0,-0.025,2022-10-24,52.389983000188224,4.88781099987638
15.2,0.245,8.416666666666666,24.333333333333332,27.5,15.0,3.3,-0.025,2022-10-24,52.39397200025616,4.870156999790721
14.0,0.255,21.0,31.0,20.5,20.0,6.5,0.033,2022-10-25,52.35803899985509,4.899699999642448
14.0,0.15,0.45,19.0,24.0,13.0,7.4,0.033,2022-10-25,52.359714000013874,4.866208000411839
14.0,0.255,2.1,36.0,20.5,15.4,6.875,0.033,2022-10-25,52.37205599978701,4.904399999582005
14.0,0.255,31.0,33.0,20.5,16.0,6.875,0.033,2022-10-25,52.374786000246935,4.86031900024369
14.0,0.255,4.6,30.0,17.0,15.4,6.875,0.033,2022-10-25,52.38931400010768,4.9438219998869615
14.0,0.36,18.0,38.0,20.5,16.0,7.4,0.033,2022-10-25,52.389983000188224,4.88781099987638
14.0,0.255,12.858333333333334,31.166666666666668,20.5,12.0,6.2,0.033,2022-10-25,52.39397200025616,4.870156999790721
14.8,0.26,8.1,30.0,35.0,27.0,11.0,0.38,2022-10-26,52.35803899985509,4.899699999642448
14.8,0.16,0.8,18.0,34.0,28.0,13.0,0.38,2022-10-26,52.359714000013874,4.866208000411839
14.8,0.26,0.3,32.0,35.0,27.4,11.1,0.38,2022-10-26,52.37205599978701,4.904399999582005
14.8,0.26,12.0,32.0,35.0,30.0,11.1,0.38,2022-10-26,52.374786000246935,4.86031900024369
14.8,0.26,-0.7,19.0,36.0,27.4,11.1,0.38,2022-10-26,52.38931400010768,4.9438219998869615
14.8,0.36,8.0,27.0,35.0,28.0,11.0,0.38,2022-10-26,52.389983000188224,4.88781099987638
